id,value
reviews.good.topic5.like,0.0038011668
reviews.good.topic5.time,0.0036244371
reviews.good.topic5.open,0.0035220976
reviews.good.topic5.better,0.0034867
reviews.good.topic5.chipotle,0.003273636
reviews.good.topic6,
reviews.good.topic6.great,0.008204742
reviews.good.topic6.food,0.007035468
reviews.good.topic6.price,0.00527847
reviews.good.topic6.just,0.004932007
reviews.good.topic6.eat,0.004805857
reviews.good.topic6.try,0.004278579
reviews.good.topic6.best,0.004233964
reviews.good.topic6.love,0.004061824
reviews.good.topic6.tuna,0.003998658
reviews.good.topic6.time,0.0036228073
reviews.good.topic6.delicious,0.003618817
reviews.good.topic6.bread,0.0036120657
