Country,Arrivals,Region,Income
France,74988000,Europe & Central Asia,High income
Spain,55914000,Europe & Central Asia,High income
United States,49206000,North America,High income
China,46809000,East Asia & Pacific,Upper middle income
Italy,36513000,Europe & Central Asia,High income
United Kingdom,28039000,Europe & Central Asia,High income
Russian Federation,22201000,Europe & Central Asia,Upper middle income
Mexico,21915000,Latin America & Caribbean,Upper middle income
Germany,21500000,Europe & Central Asia,High income
Turkey,20273000,Europe & Central Asia,Upper middle income
