Country,Arrivals,Region,Income Group
France,77190000,Europe & Central Asia,High income
United States,51238000,North America,High income
Spain,46403000,Europe & Central Asia,High income
Italy,41181000,Europe & Central Asia,High income
China,31229000,East Asia & Pacific,Upper middle income
United Kingdom,23212000,Europe & Central Asia,High income
Russian Federation,21169000,Europe & Central Asia,Upper middle income
Mexico,20641000,Latin America & Caribbean,Upper middle income
Canada,19627000,North America,High income
Germany,18983000,Europe & Central Asia,High income
Austria,17982000,Europe & Central Asia,High income
Poland,17400000,Europe & Central Asia,High income
Greece,13096000,Europe & Central Asia,High income
Malaysia,10222000,East Asia & Pacific,Upper middle income
Netherlands,10003000,Europe & Central Asia,High income
Turkey,9586000,Europe & Central Asia,Upper middle income
Thailand,9579000,East Asia & Pacific,Upper middle income
"Hong Kong SAR, China",8814000,East Asia & Pacific,High income
Switzerland,7821000,Europe & Central Asia,High income
Ireland,6646000,Europe & Central Asia,High income
